11:10:28 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:10:28 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:10:29 | INFO    | rose | Running 1 simulation sample(s): new_sample.pkl
11:12:51 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:12:51 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:12:52 | INFO    | rose | Running 1 simulation sample(s): new_sample.pkl
11:14:17 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:14:17 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:14:18 | INFO    | rose | Running 1 simulation sample(s): new_sample.pkl
11:15:28 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:15:28 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:15:29 | INFO    | rose | No samples found in X.pkl
11:15:29 | INFO    | rose | Running 1 simulation sample(s): new_sample.pkl
11:16:37 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:16:37 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:16:38 | INFO    | rose | No samples found in X.pkl
11:16:38 | INFO    | rose | Running 1 simulation sample(s): new_sample.pkl
11:17:20 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:17:20 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:20:01 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:20:01 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:20:02 | INFO    | rose | Running 1 simulation sample(s): [[5.0]]
11:21:05 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:21:05 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:21:06 | INFO    | rose | Running 1 simulation sample(s): [[5.0]]
11:22:21 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:22:21 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:22:22 | INFO    | rose | Running 1 simulation sample(s): [[5.0]]
11:23:24 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:23:24 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:24:37 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:24:37 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:27:26 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:27:26 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:27:26 | ERROR   | rose | Samples file is empty: []
11:32:07 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
11:32:07 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
11:32:08 | INFO    | rose | Running 1 simulation sample(s): [[5.0]]
14:00:28 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
14:00:28 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
15:16:51 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:20:48 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:21:25 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:31:17 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:31:17 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
15:32:43 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:32:43 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
15:32:43 | INFO    | rose | Workflow completed in 0.003767728805541992 seconds
15:33:33 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
15:33:33 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
15:33:33 | INFO    | rose | Workflow completed in 0.002583026885986328 seconds
16:05:26 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:05:26 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:05:26 | INFO    | rose | Workflow completed in 6.914138793945312e-05 seconds
16:06:13 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:06:13 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:15:28 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
