# x exact prior analysis
0.000000000000000000e+00 1.000000000000000000e+00 9.990186157002003409e-01 9.987878489109018876e-01
3.906250000000000000e-03 1.000000000000000000e+00 9.985548826867438610e-01 9.983682546288952242e-01
7.812500000000000000e-03 1.000000000000000000e+00 9.986125962411043222e-01 9.984476300049516251e-01
1.171875000000000000e-02 1.000000000000000000e+00 9.990133643009790898e-01 9.988568043454273404e-01
1.562500000000000000e-02 1.000000000000000000e+00 9.995889427715194397e-01 9.994358444857935897e-01
1.953125000000000000e-02 1.000000000000000000e+00 1.000199535497771297e+00 1.000049937792295784e+00
2.343750000000000000e-02 1.000000000000000000e+00 1.000741319462334467e+00 1.000596818777132357e+00
2.734375000000000000e-02 1.000000000000000000e+00 1.001148650660304229e+00 1.001010109511467627e+00
3.125000000000000000e-02 1.000000000000000000e+00 1.001388600642994842e+00 1.001255482123015739e+00
3.515625000000000000e-02 1.000000000000000000e+00 1.001456583006766321e+00 1.001327413262759647e+00
3.906250000000000000e-02 1.000000000000000000e+00 1.001380538126096509e+00 1.001253651899345565e+00
4.296875000000000000e-02 1.000000000000000000e+00 1.001225278227652948e+00 1.001099444295192153e+00
4.687500000000000000e-02 1.000000000000000000e+00 1.001089711990581721e+00 1.000964467114903611e+00
5.078125000000000000e-02 1.000000000000000000e+00 1.001089460646424456e+00 1.000965247737408914e+00
5.468750000000000000e-02 1.000000000000000000e+00 1.001305391522186117e+00 1.001183865160818476e+00
5.859375000000000000e-02 1.000000000000000000e+00 1.001671291063507052e+00 1.001556034035414156e+00
6.250000000000000000e-02 1.000000000000000000e+00 1.002082275439906578e+00 1.001977779262239077e+00
6.640625000000000000e-02 1.000000000000000000e+00 1.002444214470848971e+00 1.002354631102601923e+00
7.031250000000000000e-02 1.000000000000000000e+00 1.002690063365932804e+00 1.002618208291588653e+00
7.421875000000000000e-02 1.000000000000000000e+00 1.002783597591759168e+00 1.002730399577284270e+00
7.812500000000000000e-02 1.000000000000000000e+00 1.002715646055014620e+00 1.002680080961355857e+00
8.203125000000000000e-02 1.000000000000000000e+00 1.002490796461531275e+00 1.002470238290755100e+00
8.593750000000000000e-02 1.000000000000000000e+00 1.002126355541170355e+00 1.002117180222377391e+00
8.984375000000000000e-02 1.000000000000000000e+00 1.001664134625205538e+00 1.001662435474796720e+00
9.375000000000000000e-02 1.000000000000000000e+00 1.001173949317787359e+00 1.001176194335080538e+00
9.765625000000000000e-02 1.000000000000000000e+00 1.000750464975443732e+00 1.000753909107950923e+00
1.015625000000000000e-01 1.000000000000000000e+00 1.000497336303217688e+00 1.000500073794917455e+00
1.054687500000000000e-01 1.000000000000000000e+00 1.000477175337287639e+00 1.000477906595701239e+00
1.093750000000000000e-01 1.000000000000000000e+00 1.000604892876183705e+00 1.000602943823885482e+00
1.132812500000000000e-01 1.000000000000000000e+00 1.000764271136491690e+00 1.000759782394699204e+00
1.171875000000000000e-01 1.000000000000000000e+00 1.000861902429433403e+00 1.000856299241391634e+00
1.210937500000000000e-01 1.000000000000000000e+00 1.000844098325645248e+00 1.000840572765610004e+00
1.250000000000000000e-01 1.000000000000000000e+00 1.000696333370600710e+00 1.000699995249730412e+00
1.289062500000000000e-01 1.000000000000000000e+00 1.000433118559857615e+00 1.000450631344062646e+00
1.328125000000000000e-01 1.000000000000000000e+00 1.000081340987037937e+00 1.000120166087054008e+00
1.367187500000000000e-01 1.000000000000000000e+00 9.996747540485575456e-01 9.997419491766503796e-01
1.406250000000000000e-01 1.000000000000000000e+00 9.992589749081940420e-01 9.993592734133114330e-01
1.445312500000000000e-01 1.000000000000000000e+00 9.988925337447097652e-01 9.990259473548466218e-01
1.484375000000000000e-01 1.000000000000000000e+00 9.986459668914970944e-01 9.988055981380442594e-01
1.523437500000000000e-01 1.000000000000000000e+00 9.985947031730957324e-01 9.987660401014982758e-01
1.562500000000000000e-01 1.000000000000000000e+00 9.987874836141850121e-01 9.989516184220750272e-01
1.601562500000000000e-01 1.000000000000000000e+00 9.991630046581840841e-01 9.993061410105072984e-01
1.640625000000000000e-01 1.000000000000000000e+00 9.996332450817732029e-01 9.997498036517951103e-01
1.679687500000000000e-01 1.000000000000000000e+00 1.000114564035792242e+00 1.000206201633531577e+00
1.718750000000000000e-01 1.000000000000000000e+00 1.000536920907397542e+00 1.000609846364016287e+00
1.757812500000000000e-01 1.000000000000000000e+00 1.000848961882197408e+00 1.000910914881583347e+00
1.796875000000000000e-01 1.000000000000000000e+00 1.001019844626518829e+00 1.001077607140027359e+00
1.835937500000000000e-01 1.000000000000000000e+00 1.001032927756372759e+00 1.001090622279209308e+00
1.875000000000000000e-01 1.000000000000000000e+00 1.000890850264612109e+00 1.000949294586680693e+00
1.914062500000000000e-01 1.000000000000000000e+00 1.000631202552147547e+00 1.000688537051369620e+00
1.953125000000000000e-01 1.000000000000000000e+00 1.000339684219877734e+00 1.000392976198559269e+00
1.992187500000000000e-01 1.000000000000000000e+00 1.000212894155885213e+00 1.000260308161980305e+00
2.031250000000000000e-01 1.000000000000000000e+00 1.000418783856123595e+00 1.000461550528295218e+00
2.070312500000000000e-01 1.000000000000000000e+00 1.000967616370494362e+00 1.001008139173299671e+00
2.109375000000000000e-01 1.000000000000000000e+00 1.001706305329148838e+00 1.001741220149789502e+00
2.148437500000000000e-01 1.000000000000000000e+00 1.002442261354207886e+00 1.002454745865700714e+00
2.187500000000000000e-01 1.000000000000000000e+00 1.003001082539871192e+00 1.002957465127890524e+00
2.226562500000000000e-01 1.000000000000000000e+00 1.003253780342362456e+00 1.003113653794921678e+00
2.265625000000000000e-01 1.000000000000000000e+00 1.003130243921320774e+00 1.002878621280612670e+00
2.304687500000000000e-01 1.000000000000000000e+00 1.002614432991254745e+00 1.002307364907786269e+00
2.343750000000000000e-01 1.000000000000000000e+00 1.001706086153387520e+00 1.001486203141459086e+00
2.382812500000000000e-01 1.000000000000000000e+00 1.000435413032268128e+00 1.000478029960129023e+00
2.421875000000000000e-01 1.000000000000000000e+00 9.989543788196577623e-01 9.994234748660399958e-01
2.460937500000000000e-01 1.000000000000000000e+00 9.974215012354370469e-01 9.984767324263753574e-01
2.500000000000000000e-01 1.000000000000000000e+00 9.959263880269848546e-01 9.977881439949211062e-01
2.539062500000000000e-01 1.000000000000000000e+00 9.944854447480333537e-01 9.975313266860034167e-01
2.578125000000000000e-01 1.000000000000000000e+00 9.929816031256304409e-01 9.977274085068905674e-01
2.617187500000000000e-01 1.000000000000000000e+00 9.909395416624825481e-01 9.977244712830796169e-01
2.656250000000000000e-01 1.000000000000000000e+00 9.877494725404064591e-01 9.966214059663904834e-01
2.695312500000000000e-01 1.000000000000000000e+00 9.828562323573200032e-01 9.935441914484719472e-01
2.734375000000000000e-01 1.000000000000000000e+00 9.763526715956956092e-01 9.885050151315782907e-01
2.773437500000000000e-01 9.859874200845095693e-01 9.698662111133156127e-01 9.833985818481429941e-01
2.812500000000000000e-01 9.717334900750871363e-01 9.625230587954737294e-01 9.760672357522338638e-01
2.851562500000000000e-01 9.576448883570347625e-01 9.540100357803970033e-01 9.659308754813424880e-01
2.890625000000000000e-01 9.437201725360964133e-01 9.444038012650930458e-01 9.534995336022911161e-01
2.929687500000000000e-01 9.299579086318938703e-01 9.339248748799201527e-01 9.396052697040675472e-01
2.968750000000000000e-01 9.163566710533144200e-01 9.228438750783343192e-01 9.250708155902342966e-01
3.007812500000000000e-01 9.029150425738987629e-01 9.114462038518104103e-01 9.105760822380963848e-01
3.046875000000000000e-01 8.896316143072300342e-01 8.999430168941457975e-01 8.965611344760169299e-01
3.085937500000000000e-01 8.765049856823209362e-01 8.884123226925531025e-01 8.831988415086564626e-01
3.125000000000000000e-01 8.635337644190008710e-01 8.766823678999594582e-01 8.703082799129890912e-01
3.164062500000000000e-01 8.507165665033049606e-01 8.645284520913886217e-01 8.575957970338059511e-01
3.203125000000000000e-01 8.380520161628618458e-01 8.518061243459156273e-01 8.448127980954163174e-01
3.242187500000000000e-01 8.255387458422810409e-01 8.384788619408487520e-01 8.317982869642477350e-01
3.281250000000000000e-01 8.131753961785412876e-01 8.247137789739673597e-01 8.186166228935665146e-01
3.320312500000000000e-01 8.009606159763770217e-01 8.107167986338419396e-01 8.053506906441200153e-01
3.359375000000000000e-01 7.888930621836689472e-01 7.967040369634249553e-01 7.921152818357841685e-01
3.398437500000000000e-01 7.769713998668302812e-01 7.829349650951306083e-01 7.790946550205990473e-01
3.437500000000000000e-01 7.651943021861935534e-01 7.696555579837196515e-01 7.664915917003556345e-01
3.476562500000000000e-01 7.535604503714010693e-01 7.569851721010560919e-01 7.544049315542292744e-01
3.515625000000000000e-01 7.420685336967909329e-01 7.449519012853512701e-01 7.428786701907654777e-01
3.554687500000000000e-01 7.307172494567854004e-01 7.335233357679926680e-01 7.318972163532386777e-01
3.593750000000000000e-01 7.195053029412789014e-01 7.226578338825332404e-01 7.214271418522117951e-01
3.632812500000000000e-01 7.084314074110276138e-01 7.122897098514104908e-01 7.114010644712152054e-01
3.671875000000000000e-01 6.974942840730317117e-01 7.022872723535071859e-01 7.016812491717402400e-01
