# x_obs y_obs
0.000000000000000000e+00 1.000000000000000000e+00
5.078125000000000000e-02 1.000000000000000000e+00
1.015625000000000000e-01 1.000000000000000000e+00
1.523437500000000000e-01 1.000000000000000000e+00
2.031250000000000000e-01 1.000000000000000000e+00
2.539062500000000000e-01 1.000000000000000000e+00
2.695312500000000000e-01 1.000000000000000000e+00
2.734375000000000000e-01 1.000000000000000000e+00
2.773437500000000000e-01 9.859874200845095693e-01
3.046875000000000000e-01 8.896316143072300342e-01
3.554687500000000000e-01 7.307172494567854004e-01
4.062500000000000000e-01 5.953698191015286412e-01
4.570312500000000000e-01 4.808651579382587915e-01
4.804687500000000000e-01 4.343453421141307835e-01
4.843750000000000000e-01 4.269551520621125418e-01
4.882812500000000000e-01 4.263194281784951079e-01
5.078125000000000000e-01 4.263194281784951079e-01
5.585937500000000000e-01 4.263194281784951079e-01
6.093750000000000000e-01 4.263194281784951079e-01
6.601562500000000000e-01 4.263194281784951079e-01
6.718750000000000000e-01 4.263194281784951079e-01
6.757812500000000000e-01 2.655737117053070806e-01
6.796875000000000000e-01 2.655737117053070806e-01
7.109375000000000000e-01 2.655737117053070806e-01
7.617187500000000000e-01 2.655737117053070806e-01
8.125000000000000000e-01 2.655737117053070806e-01
8.281250000000000000e-01 2.655737117053070806e-01
8.320312500000000000e-01 1.250000000000000000e-01
8.359375000000000000e-01 1.250000000000000000e-01
8.632812500000000000e-01 1.250000000000000000e-01
9.140625000000000000e-01 1.250000000000000000e-01
9.648437500000000000e-01 1.250000000000000000e-01
